replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20,replica21,replica22,replica23,replica24,replica25
-32.5366,-34.3553,-28.5535,-36.7389,-31.3632,-31.2943,-30.7512,-23.868,-32.0315,-36.9627,-29.4287,-37.4108,-36.0845,-32.1724,-32.7494,-32.3919,-30.228,-30.7182,-40.2895,-33.0507,-31.5965,-28.6731,-35.1415,-27.5174,-27.0291
-16.6292,-17.9016,-24.2604,-21.001,-16.6452,-23.9344,-24.3856,-20.3731,-14.3417,-20.4775,-18.6231,-17.7031,-20.3985,-17.2046,-16.0334,-8.9201,-23.8259,-21.3091,-15.8581,-20.1553,-20.1339,-19.9016,-19.2076,-19.0203,-19.5248
-27.3777,-26.4079,-22.3636,-24.5802,-25.8126,-24.7317,-26.3097,-25.5978,-26.0735,-24.1576,-24.6025,-21.78,-24.87,-24.8542,-25.6818,-24.458,-24.8151,-26.2428,-25.2794,-27.1502,-25.2923,-23.3701,-24.2491,-24.675,-24.8562
-24.591,-23.0109,-22.2664,-23.8386,-19.9962,-23.6625,-23.8417,-21.806,-22.1009,-23.9944,-23.2915,-20.2919,-23.0483,-22.2513,-23.6806,-23.369,-22.3176,-23.0123,-23.8857,-22.3355,-22.7904,-22.3343,-22.5072,-23.6343,-21.2248
-24.6238,-24.9617,-26.9504,-26.299,-25.6596,-23.6417,-25.5839,-23.6469,-25.468,-27.4311,-27.2859,-18.1658,-25.0268,-24.1749,-22.4174,-27.2889,-24.2239,-22.6245,-25.8007,-25.6697,-24.9034,-23.6438,-23.5151,-27.2529,-24.9942
-39.6827,-34.521,-39.838,-37.0012,-36.8395,-39.9781,-37.788,-37.6032,-34.2479,-40.1057,-35.5944,-40.0301,-38.5202,-39.9921,-39.8373,-35.9963,-37.1497,-39.4066,-38.1354,-32.5142,-35.4259,-41.0636,-37.5297,-38.0338,-36.524
-31.1756,-28.0472,-31.0296,-31.3288,-27.0842,-31.1896,-29.8657,-30.9787,-22.2446,-29.1494,-32.8214,-32.1173,-28.7239,-31.1802,-30.2755,-29.894,-29.1405,-29.8652,-29.4787,-30.2367,-28.246,-31.8529,-30.2443,-29.6335,-30.9157
-21.2645,-23.6082,-22.318,-25.5949,-24.5213,-22.6253,-24.7937,-26.1772,-24.1723,-25.9001,-24.5539,-23.1955,-24.4691,-26.2061,-25.1282,-23.0695,-25.0426,-25.1199,-22.7411,-23.3401,-22.1665,-24.5632,-24.689,-19.447,-23.7966
-34.4017,-37.0753,-38.5819,-36.6807,-36.5015,-36.574,-34.9063,-34.3613,-36.1654,-34.5102,-35.464,-37.3386,-33.823,-35.7815,-37.6263,-36.7239,-38.8615,-34.5394,-35.6284,-36.4347,-37.5239,-32.8753,-36.6438,-37.0306,-33.2708
-21.9547,-25.1871,-23.165,-23.4571,-20.8617,-20.8916,-24.083,-23.2321,-21.1644,-20.1543,-20.1143,-20.5067,-21.0317,-20.1472,-15.9511,-20.2773,-17.228,-24.6408,-8.7204,-21.3716,-20.9802,-22.1134,-19.4258,-21.8904,-21.3978
-16.1016,-20.1737,-15.1422,-23.2552,-15.1178,-20.4068,-18.1129,-19.037,-14.4494,-19.7516,-19.1031,-17.9481,-17.8475,-21.1807,-16.9508,-22.1753,-20.3113,-19.7991,-19.2905,-18.8505,-18.7294,-15.5444,-16.6427,-17.3541,-18.2807
-33.0266,-33.4565,-28.7199,-36.2904,-32.0833,-35.5054,-28.8582,-34.8656,-32.8036,-27.5835,-31.3994,-31.199,-31.5072,-28.7889,-30.7313,-26.7365,-34.0649,-30.0916,-32.0614,-30.1457,-29.1635,-28.7368,-30.1434,-25.8091,-28.7784
-31.0999,-29.5353,-28.0272,-28.174,-29.6465,-28.0364,-29.741,-29.43,-31.3913,-28.1605,-30.1626,-28.5182,-30.5198,-28.4209,-32.9697,-29.3344,-29.635,-27.7753,-30.8583,-34.05,-34.857,-30.2603,-29.2073,-29.86,-34.4155
-32.903,-37.7348,-33.9075,-33.911,-35.4989,-35.0755,-36.9244,-35.6903,-34.4398,-33.9303,-35.6769,-37.0261,-34.5812,-33.6045,-34.8126,-32.1672,-34.7575,-34.1,-35.7924,-34.2857,-36.9816,-36.1251,-35.4363,-35.8748,-35.4165
-42.6822,-44.9096,-50.085,-41.8179,-42.8552,-33.0941,-42.1178,-46.0927,-42.4993,-49.2108,-49.158,-48.3144,-43.9548,-41.2054,-43.0986,-45.8284,-48.6634,-42.8454,-49.9257,-50.8552,-50.4884,-44.572,-42.5845,-45.9196,-55.2133
-21.2981,-20.5486,-22.576,-22.3206,-23.9166,-22.3422,-23.096,-23.8027,-22.078,-22.7423,-22.029,-22.0676,-20.9964,-23.9054,-20.5165,-21.7021,-22.3446,-21.8297,-22.2223,-22.6887,-22.613,-20.5771,-21.7783,-22.2193,-20.586
-28.8371,-28.6818,-31.0891,-29.9312,-30.2601,-31.2656,-26.9767,-31.008,-31.1616,-31.1413,-30.4881,-31.9601,-32.2868,-33.1877,-29.6368,-31.9737,-27.9166,-30.6588,-25.6928,-30.6055,-31.8925,-28.8966,-29.8077,-27.8151,-30.4422
-16.1718,-18.8911,-20.3153,-17.5681,-19.8423,-11.4214,-16.673,-18.5247,-17.5536,-18.195,-18.4021,-19.1382,-19.8888,-18.4921,-18.1359,-25.2755,-19.8398,-20.6439,-16.9904,-16.7894,-18.2447,-23.1139,-21.7732,-17.0892,-16.8655
-25.8512,-30.1173,-25.5852,-26.5336,-29.1864,-27.3978,-36.1363,-27.3852,-33.7219,-31.7211,-23.4614,-25.2049,-22.7574,-29.7779,-29.4183,-24.4466,-22.1934,-24.7128,-27.8436,-24.3658,-24.5486,-27.2067,-26.4272,-26.0505,-29.1115
-33.3624,-32.558,-33.9178,-34.4887,-33.8953,-34.9196,-33.9382,-33.7495,-33.8405,-34.6458,-33.7719,-34.8443,-35.0609,-34.7244,-33.8739,-33.2701,-33.3701,-33.6889,-33.1916,-33.8236,-33.6876,-34.1458,-33.0835,-33.8818,-33.3931
-30.9852,-29.3547,-31.654,-30.1105,-30.6967,-15.9757,-31.6588,-32.2919,-32.2271,-30.656,-30.7302,-30.6158,-31.098,-32.365,-30.958,-29.2894,-30.1529,-21.8924,-27.3859,-29.6936,-31.1193,-31.9636,-27.4578,-30.5866,-29.9882
-39.3025,-42.3944,-35.6911,-42.9779,-40.7046,-41.1208,-38.8475,-36.5564,-38.5479,-34.821,-35.2411,-43.977,-43.7198,-40.8104,-36.4462,-40.3542,-34.9442,-36.6706,-39.34,-41.2821,-38.7792,-30.7282,-33.5833,-33.8238,-39.2087
-31.7916,-32.0985,-31.4621,-32.4637,-32.5116,-30.4813,-32.5383,-31.2732,-29.6423,-30.9633,-32.0658,-32.0338,-31.7578,-32.9474,-31.1821,-31.7037,-32.5132,-27.2443,-30.0841,-32.1799,-31.0299,-30.252,-30.7923,-31.6297,-31.9411
-45.452,-43.266,-39.3359,-45.7372,-43.2216,-35.6522,-38.1367,-45.34,-37.775,-44.572,-36.3671,-43.3521,-47.5228,-42.5861,-46.6895,-42.456,-42.8899,-46.4467,-47.6046,-42.192,-40.6866,-41.7643,-43.0629,-45.1115,-45.96
-28.4426,-29.6565,-29.883,-28.6316,-28.3128,-28.1052,-27.1382,-29.2974,-29.3728,-28.0681,-29.8229,-27.9551,-27.9715,-28.461,-28.0575,-27.8208,-28.0701,-28.0497,-29.4414,-28.8922,-29.2082,-27.9469,-27.6146,-28.1316,-29.2968
-41.8228,-40.7361,-39.6906,-39.6079,-35.4391,-32.96,-33.4033,-38.2092,-45.3028,-42.5728,-32.2968,-39.043,-38.1396,-37.9617,-38.9734,-40.1952,-32.156,-35.2282,-34.3132,-44.0236,-38.5765,-33.7998,-37.1287,-36.7083,-32.9035
-30.2971,-32.8718,-33.3499,-31.5748,-33.3054,-30.7854,-31.6216,-32.403,-34.39,-27.2294,-32.3745,-31.3272,-31.6707,-30.8917,-30.4592,-31.4079,-32.5266,-31.5796,-30.4094,-31.5687,-33.1304,-33.8697,-37.169,-29.3014,-36.2871
-21.4563,-20.7612,-20.6207,-20.3198,-19.8229,-21.6098,-19.0455,-20.4034,-21.4532,-20.0396,-20.5999,-21.307,-20.2458,-19.0996,-19.3761,-19.8876,-20.7019,-20.864,-20.3479,-21.5125,-20.3095,-21.0665,-21.1658,-20.7638,-18.6778
-28.2534,-35.0244,-29.4792,-28.6119,-25.4349,-25.8397,-31.1007,-28.5928,-33.1995,-24.3204,-24.2909,-27.7534,-23.3393,-22.9933,-25.958,-28.4564,-31.5304,-29.7541,-30.6961,-28.6343,-24.8763,-26.2516,-26.202,-28.8106,-32.4354
-46.9119,-46.5836,-47.1714,-41.6048,-46.4291,-46.0243,-47.082,-45.4852,-47.4545,-46.048,-46.3044,-45.008,-45.4758,-45.9628,-47.0614,-46.6324,-46.5165,-46.7232,-46.8385,-46.2515,-45.4972,-46.3732,-46.5161,-46.8556,-46.1816
-18.0485,-21.6516,-21.6418,-20.8656,-22.6275,-19.473,-21.1249,-19.2849,-21.464,-20.1474,-18.4568,-19.1083,-21.5867,-22.5149,-22.5332,-22.9154,-19.1791,-19.7346,-19.6379,-18.4119,-19.771,-20.6368,-19.4345,-21.1663,-22.6052
-22.7236,-25.1292,-25.5482,-25.6106,-24.9161,-24.0859,-24.6749,-22.3815,-23.7877,-25.3106,-22.0127,-25.2682,-23.4155,-23.9137,-23.7784,-23.7777,-26.2555,-24.1035,-22.7537,-24.7006,-24.6565,-24.9244,-22.0982,-23.7278,-25.356
-10.6965,-11.7251,-1.7705,-5.2825,-10.5572,-11.7571,-12.1989,-11.3312,-12.2837,-10.6532,-11.8675,-11.5302,-12.2753,-10.7819,-10.2442,-11.5825,-11.0348,-11.5708,-11.8492,-11.1544,-11.8819,-11.4606,-10.4064,-11.8013,-5.5078
-42.114,-41.9367,-41.1802,-42.3257,-36.9242,-39.831,-41.1807,-41.1514,-41.7257,-40.4596,-42.1104,-42.9472,-40.9756,-43.2136,-44.2341,-43.5025,-39.0443,-41.9392,-41.8226,-41.0577,-41.4096,-39.7377,-42.5111,-52.8532,-41.3378
-28.7032,-40.7949,-27.7715,-39.9913,-29.8467,-28.5962,-40.3346,-39.7032,-34.5005,-38.7544,-39.2064,-31.8595,-41.3397,-35.1468,-38.7396,-33.1904,-38.6647,-34.8348,-32.4277,-29.1098,-39.7993,-32.8444,-30.9332,-39.7974,-35.4747
-33.5323,-32.1553,-31.3198,-32.4181,-32.373,-32.8341,-32.3258,-31.161,-31.2749,-30.8649,-30.7692,-31.445,-31.5012,-30.8681,-34.1141,-32.0172,-32.6461,-30.6446,-32.1937,-32.9083,-32.2243,-31.0649,-31.0379,-31.8092,-32.1891
-34.0118,-33.87,-34.4712,-33.1304,-34.22,-33.4358,-33.5266,-34.979,-30.1397,-34.2825,-28.691,-34.2802,-34.2609,-34.0852,-34.9755,-33.4938,-34.6024,-35.1743,-33.9123,-30.152,-34.838,-34.7021,-35.0601,-34.3666,-33.2772
