replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
1316906319.58789,1468849837.50487,1500067442.49325,1460375320.23217,1230307454.91329,1467984941.27932,1521747460.70409,1249586118.79041,1415809318.1325,1439193742.85882,1359757692.97743,1410386887.3788,1359529028.7945,1395481501.4767,1394029621.79534,1492174676.83739,1628715786.91331,1366854233.20618,1395632527.50811,1224633084.03718
1385261460.0347,1192234343.12388,1246498206.12196,1062773922.56931,1282885700.632,1237311166.78803,1303688576.18738,1301732359.13487,1515640027.77104,1430211338.80616,1250817561.91503,1172177189.98094,1300522664.63904,1334839487.61522,1241815713.36081,1193071867.33601,1370068788.86754,1026191880.38305,1253792750.94779,1483518192.88854
879731230.89773,1081690728.94078,978605844.96161,1102161140.88103,1117474062.04472,1223350131.65293,1036274772.89984,1150883188.57473,1166649837.62306,1153534557.66855,1072632646.44126,1084764300.68854,1316508617.08788,1198142270.21118,1129681400.88702,1059306602.41298,1117742869.37085,951929115.712795,1286287796.64594,1083186639.24739
617045465.442805,854586533.362715,897255423.77837,1015384204.24507,831176248.5861,896023155.356755,959446581.312295,818121549.383455,883972215.457015,652801947.359845,851232288.95658,724516075.65351,856450196.50864,792081476.378085,1046359210.65298,1040324094.86593,861076400.62361,803302225.37309,982162827.4053,751445230.96526
1239404847.30872,1061260460.37077,1473641827.66873,1217191253.76758,1210233446.03815,1305799400.84207,1249097138.34143,1043715915.23386,1417082253.41625,1264631344.46925,1288533932.97827,1464888341.13013,1609255649.29184,1271287666.68293,1394235496.00202,1265337178.7617,1304732438.10336,1390400079.57037,1301315351.31424,1299958509.89646
1406355723.49561,1191732851.49689,1189880927.99886,1457739476.17308,1195938469.02275,1180421865.69871,1507453149.53127,1432950741.76864,1356319117.24676,1228206084.70546,1253823844.82234,1325906100.57393,1301557023.9571,1203662749.45076,1382835264.59421,1385684716.39241,1270496097.31478,1118134334.42859,1191131598.4959,1479884426.31276
1153915181.49761,1314764336.36188,1318136590.49012,1572093500.18111,1277451469.68366,1324137389.17766,1461892973.55497,1271462754.60271,1454357451.03141,1519256512.16155,1344773437.89843,1374777123.92153,1323851837.78973,1427908863.6209,1254864639.82129,1660059727.97386,1426478901.20354,1427529719.26808,1453494736.9982,1316060533.3873
1490478990.35583,1527605451.32528,1428667340.4682,1485822837.15496,1445184142.70294,1444246656.94484,1467766903.38013,1272478033.60877,1480258937.82094,1506095140.47997,1512616191.39778,1607348949.04815,1366881732.8107,1164819870.35586,1505334676.70317,1420547280.78525,1428653232.44361,1330779752.41122,1265807586.66003,1575912333.38106
1801313841.79113,1794347618.24874,1708243009.97594,1712049847.87301,1813532246.51087,1809905900.85471,1659753603.67708,1743828517.83744,1679852593.64592,1828363539.93705,1604312152.47975,1740791417.20689,1565446130.23105,1744375251.15927,1645966011.5816,1626970113.28702,1865105368.35219,1450994505.50421,1896463725.15431,1798024099.88107
1057661122.82654,1005792655.55899,949699109.37766,1064190974.56839,1075414195.22924,1075778771.32259,1149766544.60836,1222181322.90638,1179076444.65768,1094645895.56009,845503748.763455,1070347175.31067,1201926197.1671,1064219135.14439,1120879697.81266,1383547257.92941,1326397424.3133,1192497563.04519,1072987504.10046,958220184.678785
1167225492.78354,1134485260.49525,1201992848.34337,984444609.42732,1197665726.14104,1015773538.47406,1313552644.39658,993064104.68676,949149071.734925,969516995.12964,976766204.44807,977688648.26923,1164647217.71146,1135511297.33304,1193880347.88301,1104341027.13332,1017446583.35347,1231949957.69763,1008957410.22625,1398115857.4419
1332851282.20796,1094443408.60248,1100466690.10786,1177712178.34795,1269135817.24542,1330218936.29622,1075125598.52146,1107113611.97899,1249379755.48682,1095084167.72584,1341635457.27381,1230111082.86341,1278422960.24513,1258810698.29995,1067711707.32897,1242814147.85622,1131871694.60098,1132168889.84507,1158001008.51653,1191880262.43709
1494048666.95347,1396814325.6378,1487301859.24054,1421518134.7137,1883886325.85001,1391212762.73264,1474677567.8262,1464554273.04047,1349782386.37212,1385992694.66243,1320863389.7847,1114868826.99258,1402256920.18655,1768423380.12135,1363433756.87997,1601047919.60092,1391137689.44663,1536716855.21876,1528744843.01064,1444364161.65095
1948345652.05093,1921068645.72074,1490299568.98494,1839086385.09583,1691914487.83363,1818239695.68639,1779122791.56299,1797355020.19443,1897094896.45936,1979080644.46844,1804872883.90067,1798675864.79847,1791313451.95861,1836727814.4179,1875257112.95242,1718189307.67907,2017133958.15393,1657844856.15835,1915282590.22573,1725025757.91714
1836631669.01647,1935770446.93259,1863524944.99226,1872556938.99536,1960480908.99477,1824692914.42072,2116207883.2954,1926224421.06036,2077650390.58725,1977001909.86503,1893940202.45393,1968031110.72551,1920862534.72901,1710056082.20692,2050393875.36948,1885568018.78313,1989606610.0784,1953962535.53486,1994576551.12919,1918597830.09454
1763153031.08203,1932137300.30209,1893888601.95379,1993576772.41981,2137143068.18764,1882083217.66621,1816220066.48253,2070167076.76395,1710518436.45466,2067696847.26487,1950039439.99141,1971974970.26348,1636768201.52217,1798881046.5101,1892192164.87984,1916971089.03978,1722319462.0429,1691093235.7379,1711237869.98212,1825402926.95957
947312338.048805,1406116177.86269,1020119967.28301,1171133097.98203,836240478.24439,1189388148.16166,1165104525.63127,1156792494.04016,945854489.168165,1264575118.64454,738538237.715895,953916867.476805,1117571222.48214,1054256503.43513,948762058.705145,1201069745.06904,1039587493.81281,1143227112.71169,1138285448.66537,889545589.49223
1464840473.12796,1486757903.76928,1782253615.61314,1299209870.70582,1722899451.38818,1495013284.45154,1421222176.73513,1264698439.73922,1342963077.34601,1493434038.52075,1292713492.94115,1253157654.27501,1508130949.26372,1640226266.73273,1395543408.59637,1332466073.93204,1690996779.07426,1633801212.52807,1612514377.34652,1593726566.89318
2083612856.20949,2238290314.36273,2120548155.13356,2301307787.45354,1949436114.38513,2102248060.90803,1938437205.53868,1897064989.38115,2086705403.55824,2295976246.41056,2130209677.16547,2111648501.56105,1879930596.95899,2197657120.47718,2342790878.84858,2048961107.73104,2065241212.51508,1951439713.71865,2240977361.16855,1926257918.71609
1840471800.76365,1527071701.60511,1643665260.94865,1763969114.83012,1945549216.76853,1767407649.93213,1832846813.31499,1840187424.42601,1778920378.74878,1784800228.27019,1567977890.29019,1710469045.43671,1340482843.28844,1762796193.51322,1870530091.03263,1648847875.12921,1851824661.89575,1723413049.47962,1836318363.73746,1781115742.57375
855201873.793735,960113770.639325,746916093.403715,725315738.56798,1073347811.51019,932792204.445495,843271003.809365,1031540416.58434,913003393.563255,977919722.474595,1033449480.92029,818181252.92792,1006472668.08618,871698818.738495,738723938.68815,1026106265.5767,927822078.40268,1077687665.75519,899288409.57861,998141004.70099
