replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
4010346382.29587,3764781850.66996,3959296557.3127,3531269761.00581,3807619107.89577,3592593345.5524,3746078459.72881,3788986791.23629,3642232488.73912,3813732091.72831,3833439746.16151,3791191957.62023,3776800765.18669,3696600858.00285,3976844251.19879,3763138129.97219,3746323348.89051,3914435746.96694,3930816435.49594,4084001221.36261
2344853776.09685,2444339735.75328,2289981230.73204,2355078751.81636,2603309625.81206,2385008592.21136,2440586911.45267,2446988845.91116,2363255961.56893,2382511797.94482,2304222366.90319,2491487067.42979,2439760845.62123,2549321046.30429,2148078474.44043,2224021368.14225,2478756842.09668,2622723384.57347,2373287168.61967,2362569820.83622
1006453835.64054,1106405724.51898,831948825.993713,961743940.183236,855769319.128336,885019417.015173,801007725.592344,940759162.697455,821112780.777293,1102721569.93464,897285053.034222,1011503914.74566,1096824662.13274,925131612.03929,1198222643.45128,983918375.374575,841473847.180215,1076117959.06159,355028867.84735,1021152673.60446
1874739126.15905,1758533504.78969,1712025654.7218,1887822711.73588,1947945218.10558,1853173446.90013,1964912225.8233,1865948874.91985,1982126489.07446,1687396437.22084,1956337231.93424,1681183642.12345,1995181252.07408,1752501022.65139,1443474399.38786,1841343864.01183,1927015129.75698,1888162625.55915,1546868332.00986,1552537233.07872
5289850588.09419,5427257869.17916,5280654879.51235,5212382230.09564,5480323804.48797,5586192384.07635,5478694436.18664,5361122829.68043,5558794307.30571,5425054400.03806,5510751626.77,5189555078.15645,5475354665.33235,5331042855.72762,5437193430.57077,5550909051.36015,5505803214.78357,5527774378.35212,5379274190.98936,5563567597.48941
4727926907.95625,4514752249.87506,4420646718.67775,4648462326.23518,4558350687.76924,4564953609.74219,4471927390.37538,4507948966.24505,4439102171.32048,4497016103.82795,4741540739.83682,4253239941.02382,4582188232.84851,4496948465.94957,4705755695.34796,4582277394.7025,4477202189.64589,4633011516.8058,4531091715.6993,4851370089.87325
2118500774.03394,2339759992.11425,2583959460.1257,2456732761.49902,2500096522.91928,2238201822.71183,2423190391.57412,2188321138.09547,2499280130.95461,2135008230.82908,2522372678.44934,2469630785.05082,2494177024.35428,2701453519.68637,2360579640.2121,2465719341.0237,2170465465.1589,2740218278.69648,2597278558.80593,2381899177.7696
1767043951.85819,1909730421.66981,1613865210.74846,1468940832.93525,1493824373.18532,1564329354.03785,1776025779.13699,1714309516.13461,1386017600.54905,1637401077.33658,1492886868.55881,1338820032.46068,1614953134.0955,1569524453.67883,1914751776.65898,1730577524.81339,1722133082.88845,1493845420.36327,1739476266.74799,1909235859.49033
3037440878.62001,2914841803.33597,3082301248.99135,2717075240.61236,2807604747.35766,2814036701.39547,2757810964.13218,3211069585.03321,2954672158.42272,3255206713.84255,2691139617.38783,3000097395.16375,3224454642.99717,2816825238.08269,3066540071.46745,2967453026.41049,3121738754.30061,2840118219.93624,2925397331.39367,2911101920.07373
3548121689.45265,3989237535.97003,3692687818.01945,3851707544.69395,3679946139.52217,4076238880.99954,3884622610.10643,3623992337.80677,3924752162.05874,4028934930.75576,3861601783.04824,3845209056.88828,3845088502.72934,3961601654.30608,3965260074.39287,3633859763.44065,3501010940.38449,3931676423.76452,4015448839.20747,4081701806.39011
2170095820.8774,2356012439.58191,2477217888.04908,2211673365.65761,2330646818.01602,2120518888.93026,2154450183.2795,2272928085.4554,2224956105.4808,2148575945.43524,2378180551.99429,2325193112.70351,2537335094.9949,2462190746.89759,2157922877.46439,2281065191.65068,2133456889.42717,2251953068.58462,2264070069.64542,2046735427.86911
16889257655.1138,16687250563.9234,16251740593.4597,16553465528.0834,16234304130.3857,16959108145.6852,16897149938.0199,16687869260.6558,16759103809.6256,16757157059.6671,16880589643.4696,16680323695.1559,16773387181.9832,16563844792.8459,16459000104.821,16629680326.571,16651273752.2173,16859240686.5998,16713631652.3116,16771803295.9754
5850206729.9176,5836111231.54992,6015481485.4388,6193575740.71272,6069197134.77696,5561133124.44862,5497271538.03284,6271826878.02416,5500689980.07279,5932932104.72986,5589605972.14767,5846944023.43419,5716945709.04669,5737675654.95314,5884909508.53105,5894588694.68242,5719283902.83846,5586557018.77329,5678643447.36627,5958476060.63692
5137316043.99674,5315862147.03818,4949446608.14305,5461842305.93275,5012604272.41599,4989466667.43065,4850520795.44566,5311073628.42444,5394038114.0957,4905660869.94637,5158333588.8292,5292102306.96652,4904873317.31492,5060239417.06781,5307240392.63961,5109206800.86291,5124992167.58903,5014474110.35234,5046617529.84653,5291451673.92453
3531487027.16625,3558380844.12653,3118127223.3114,3259683156.20894,3191140828.41094,3392000253.57188,3227460917.9391,3320056595.94822,3411528018.15577,3399974925.57044,3476426635.62904,3426829169.99614,3556691938.78902,3481826041.91066,2930102930.49905,3331299166.65006,3413730789.90438,3338987440.64225,3032231634.41203,3435579213.32832
