replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
5954936028.23734,6225575967.56553,5454509781.87583,6344271763.52355,6351034349.50628,5965633185.48821,5687755478.58017,6138794458.59864,5109115122.50076,5680276868.40471,5692785422.63933,5676269993.27793,6849798159.06024,6816748692.56489,6436563250.44748,6501308571.81662,5570120042.81577,7094603099.19494,5999812580.65059,7023149008.2049
5619677606.17886,5714520787.0364,5814438824.501,6234586876.97935,6537298047.02161,6091585621.62473,6205708111.92858,5881844530.8543,6717396011.5813,5814196550.29224,6955917292.815,6391581652.79879,6013994568.48641,5901695412.68429,6454719582.08797,6231700362.46262,6515969584.51452,6130143835.47285,6491471600.19592,5514410594.29504
4844735323.18011,4128445230.67146,5085607801.38647,5082628633.34373,5442163768.38588,5227614758.63524,5085422263.25791,5264009217.18472,4521720573.22461,4099263549.98958,4707967868.98845,5163361386.89384,5700246982.06681,4430448792.25071,4831628594.90713,5226393127.79471,5362211437.97479,4933559066.84516,4510850588.16111,5473368224.64334
8961952872.99092,7288236049.75907,7991037236.86928,6353566801.75825,8002165377.23296,7772350086.46233,7584685917.4408,8260796448.75592,7251407850.11988,8634957241.42414,8185062857.10152,7571033753.77461,7256284586.12498,7438765560.02416,8166134013.85016,7664372920.77059,8446629317.05674,7959911460.58311,8262523695.10226,8739637928.67669
3564431689.02869,3614469303.82373,3647407066.64713,2714360936.52061,3359178177.48723,3837336534.04334,3434508971.41917,3144792377.66949,3709958054.88328,2852740861.36702,3288511628.14229,3622860699.79804,2827942908.45492,3270101067.59943,4563732222.61461,3494282615.22305,3136408661.11548,3156787647.9091,2524714719.95561,4081467673.09435
7656447496.61357,7109244336.3547,7164541630.66149,6502678964.14303,7330147025.69405,7273232981.81597,7087694830.8342,6521568119.00819,7123915422.30012,7263782841.35039,7652978851.54358,7318859106.19176,6637263804.09463,6643891350.80184,7526382388.21359,7015211445.32331,7318084872.3511,7990249776.64401,6797558628.67587,7241483127.57304
3188307530.30336,3476600765.68653,4457694084.6243,4045264689.15672,3892600295.23724,4018587575.14026,3661991381.65994,4289349072.09398,3272778744.41066,3509342903.53158,3472451440.76836,4045452479.28233,4389827438.70884,4634507125.88629,4160922978.83324,4371261771.74687,4724932441.22218,3166576620.39396,4716293643.81784,3694514934.00313
6350549271.1278,7234695521.00476,7244802326.02085,7252786195.14349,7949564223.07117,6222124002.7977,7029543307.96238,7010329468.16569,6804674922.47309,7555090428.45961,7087443470.62868,7037633242.42068,7485243806.19976,7725551109.60905,6909786465.2803,6110484681.4705,7105922333.54889,6872550058.03665,7849057209.72098,7324400136.33167
5608752029.67792,5541026951.17305,6314326663.56556,6241760685.35648,6292681995.93774,5742150083.9674,5283105927.7165,6228640338.52411,6143609223.74773,6105848144.84295,5710558776.92637,5767849991.61285,5778981804.74691,5614984101.58383,5588462399.53427,5783644965.39156,6213603979.33819,5491698578.48444,6136744357.72226,6369059612.96279
2790814687.0817,2572252306.13733,2751716433.7497,3530241855.73479,2691530538.0062,2595190287.55047,2662523168.7482,3125647604.69947,3117573724.47054,2508012515.48774,2545290870.28174,2768909542.4095,3506937051.27977,2211658844.2579,2496293757.01725,2980963455.88083,2577934525.73689,3015558339.98719,2152126373.67548,2266307552.88597
