replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
6197355880.73324,5257576442.68176,6423561679.41573,6257273383.76606,6794999529.42974,6331467229.61325,6650155590.16912,6001504961.68393,5557442447.22071,5978845380.2038,6375924715.44365,5795817335.43812,6255300942.15973,6004747545.11477,5092080757.99275,5364887592.12031,6447577157.86493,5014528106.30381,6079554860.73107,5238835657.62116
5707026998.25949,5975720700.87234,6095239483.41969,6443739314.62432,6167151118.20642,6072995517.94278,5853576007.96189,5482348100.70236,6301902452.15303,5375767794.06726,5639400592.38055,6193339824.03676,7243547086.37278,6325987569.09507,5868458703.99381,6238013115.03621,5869518670.5116,5997288341.5801,7074369272.17221,6199185087.91905
4638254664.53257,4993798720.48524,4181870520.31427,4463134125.32191,4325663145.93023,4558910284.2049,4836213161.49652,3802902824.42723,3410531912.35529,4467805466.36572,5146029073.72241,4165735024.93857,4014779582.48296,4686822690.28531,4440759525.2675,4440160612.69878,4108981536.64138,4507430516.99877,5018471992.57463,4535036841.56949
7827728903.12299,8499223151.75564,7574469094.51488,7362786146.34668,7783227060.48882,7895008167.98471,8378744197.56677,7992104461.00407,7491602240.43925,7791302729.80967,8031658862.75996,7134452947.37559,7242004737.24072,7760482074.23475,7483170069.14114,7399322537.54394,7588668446.40287,7405729941.21063,7760988835.89194,7056309981.79395
1981656058.9207,3362904932.11077,2785747806.89512,3097793740.47284,3426686428.88525,3086718184.98903,3427677977.64519,2403579379.70148,2855914205.47798,3280789796.97639,3084835750.24241,2830046644.96545,3149747924.05509,2364723294.98904,2699710428.20407,2240636817.25569,2976117072.91286,2501304514.36883,2837424405.3084,3500775441.78726
7468405874.80284,7161606303.72875,7573917996.41328,6238010830.33354,6846381850.9349,7018466590.87543,7489006977.05024,6921569168.25809,7541130374.64209,7071733131.87989,7237913712.43449,7087452310.35668,6992234949.15164,6434374216.35711,6678032380.34674,7003038172.61709,6524869105.73873,6868259665.4951,7191216620.49286,6994490850.22307
3980117904.25449,4204033132.90105,4135343162.97096,3775998243.54621,3890669240.55693,3619486209.7106,3388441921.29029,3798449733.04383,3205276996.89818,3881180248.90308,3153141071.3807,3822307542.4308,3558950200.51301,3501822966.89711,3511665722.33865,3737459278.34847,3665469243.65193,3820271651.32561,3450632039.60457,3720807143.80744
6886477680.24073,5785264726.01931,6515575315.84659,6575324765.65752,6652983452.77669,5805770961.10365,6610653136.75698,6593479908.58258,6427837488.3634,6443325339.46811,6278209173.15677,6457229044.5134,5586560387.59976,6074225583.68644,6355169563.96412,5926918991.68657,6845946761.97957,6384624336.96956,6133137894.79445,6836771115.59685
5611430579.16042,6027624197.29688,5481289243.66923,5910925289.33293,5758153264.31588,5208852745.84328,5351400023.97544,4599713381.02623,5518380819.80885,6230741913.67777,5051920568.76445,5715318959.01796,5493979338.01297,5863094150.28165,6274572038.49889,6297308217.149,5563876681.64779,6168025958.10862,5987109469.99012,5705232172.13387
2186388917.82409,2750367256.53522,3010960306.48516,2461995691.45853,2537521819.27105,2339255815.5374,2841243604.3231,3456618560.96062,2725110860.97739,2320771010.98005,1856857853.00045,2274143808.59871,2718844862.28473,2141370031.85506,1783738526.08681,2172341438.04272,2229507920.7258,1822590034.86502,2207604488.85009,2797194339.82396
5566121815.16843,5642557710.77446,5182951582.35188,4686382143.52668,5184595830.30434,4533213519.20727,5641664382.82699,5596230995.71264,5389354890.60101,5467740494.92425,5730760994.8834,5187123656.26927,5295673524.28374,5357692719.39181,5742468106.99444,5281250693.24098,6121205942.57346,5924621181.70947,5204218062.43397,6337963992.53237
3470932686.59105,3533405286.39828,4467750051.02691,3524737496.48275,4470198770.72935,3493810118.0658,4385139169.03125,3728262168.76347,4059001340.35513,3468883450.78784,3483999060.15525,3793521750.64804,4523193772.26945,4101771178.98523,3294039935.24883,3956991194.11906,3816721047.38519,4374214006.33877,4218889757.69796,3367076215.5562
1601984235.58747,1318218127.69374,1939178916.57724,1638563842.15653,1547154977.99521,1697083754.85565,1629148009.06002,1292617705.65257,1422117771.50019,1680080020.37585,1940125204.53015,1746907199.87143,1437068963.96918,1336388429.13711,1814523116.33277,1508743763.70364,1822665354.70775,1770782828.34461,1059176316.62091,1873789276.83352
2935367971.00943,2490654608.77476,3006356479.35723,3308155091.63841,3532707347.35979,2870174202.61593,2566750108.25576,3028543505.47061,3482473036.07203,2404810930.81844,3204912242.0443,3021087037.08585,3116339275.20112,2393234773.47437,2837992209.39986,2498260408.9047,3132004176.91839,3083040391.69491,2510189262.74731,3000955407.81016
7697319172.67448,8082565737.36058,7393629048.65412,7654158732.45074,7548100113.29872,7647406902.97865,8183430861.31803,7662337112.70568,7563149116.1666,8001532921.28644,7705959553.6264,8099816129.34032,7886295332.79257,7249720089.05288,7396017037.82051,7677362912.4825,7601086588.34217,8082769615.3517,7763924552.3588,8292652988.40304
6415344866.93361,5736441276.35697,6107093654.84097,6078469203.92834,5484667580.02411,6275069535.05824,6343922098.83089,6189576020.56063,5548494208.81248,5938929828.21337,6222378970.38729,5500271142.61817,5684693459.81858,5479330413.69382,6164699337.27149,6312869752.74471,5845960717.11135,6686716436.77144,5389539066.72408,6009226131.19641
3303000488.72394,3461306792.95384,3972347195.15153,3500744400.12007,4046493321.56889,3196020862.74126,3456670430.58512,3818018426.10465,3957860360.71985,2679763722.88623,3429626032.0822,3693044881.94788,4022071575.83206,4023277761.65314,3498736027.68077,3934007426.595,3335973666.07432,3598039989.88749,3752112571.5337,3717956446.87586
3059939943.11946,3470080217.74027,2543526696.33623,2251372692.37935,2584078787.4525,3018321180.97773,2080560057.54974,3306238492.44721,2508328437.63733,3633403287.95417,3379129912.86664,3037584430.89392,3327043860.16182,2638592640.70813,3296308015.72434,3239776072.23973,3710180991.31537,2902752079.77728,2878411581.19695,3099169727.05093
4676907701.90236,4704228054.91031,4973625706.0591,4316800157.31746,4787080767.0006,3793926432.96347,4547750246.54943,4965019771.25842,5065718191.75173,4899969188.58413,5216416453.68858,4732230990.29566,5684332634.61211,4163950365.16348,4086668537.53808,5108665635.76414,4893415005.02488,4473949008.08135,4480301272.09554,4368575312.70178
5106845369.24055,5563714202.58625,5246600422.28602,4957394159.60418,5613511629.1242,5829598919.38938,6021067334.88952,5098297594.75181,5342432967.64174,5734288711.91344,6070719926.10275,5314469714.66489,5326185805.93867,5019953734.15839,5039808931.28003,5005714085.41608,5244500701.24331,5679493352.49775,6013036547.44625,5315729434.54846
4298304415.45991,3736835287.50169,3436416800.74652,3946536653.97688,3464841794.54226,3724952523.93266,3492641731.96832,3244559481.89363,3674544555.62419,3644331124.26163,4161812844.44333,4605867722.09706,3946382370.94225,3909561912.56363,3438068442.422,3355868442.95657,3567443831.05324,3894376914.80729,3562314497.33796,3490089917.10293
20866654072.0574,20522822908.5753,19851092661.6332,20166128919.3167,19704449880.6379,20765073888.2577,19756868023.5154,19787362153.5937,19049736633.8871,19824936910.4919,20110741535.7912,19225563468.5658,19900544813.5737,19751771190.6958,19675753548.7267,20559667023.6952,19760824989.1299,20571790146.3007,19544687462.7886,20224333920.2481
7453189988.7776,6944626409.98645,8219323343.92461,7776082400.35763,8093030381.10781,6825026125.98479,7238025988.92591,7912083470.58582,7581858689.48532,7519141507.59027,7378448654.47597,7118768758.06429,7357060989.85316,8700836784.5616,8089738263.43033,7546758775.96959,7887387767.53471,7946220568.97611,7692556281.81223,7432954627.03366
6091710719.0944,7605373578.75743,6946584641.11615,6957215458.29779,6265197367.52112,7246581378.92142,6534909042.5537,7534786802.33449,7108247417.45739,7253268875.38462,7083524276.78574,6650056339.9741,6754467478.48812,7197482650.03737,7391714969.18852,6756656968.00181,6564145376.07482,7410157813.44984,6536876499.78448,7111635660.39351
4468228960.04768,5028635216.067,4904213303.07209,4755868279.15988,4876344086.56616,4917307313.60227,5107352703.49776,5080900283.50397,5599980411.23767,5059892755.57453,5254619521.72528,4666463279.66846,5409755257.08955,5069147094.99126,4292676531.29849,5042697863.98534,4902941172.76135,4362753574.89056,4292106794.36047,4921748516.53974
3124858649.90483,3575960331.08023,4283197508.45335,4006733634.21655,3997878723.08477,4388751976.79609,3693618946.07917,3684645032.35518,3821743223.92303,3963764245.23096,3573808447.70736,4413746819.04488,3896116188.443,4386078094.48524,4204456427.43902,3832414037.66926,2957349253.21396,4763950630.75662,4355393085.19162,4417423329.36969
2907660941.25004,3230442205.09174,3163126840.59264,2633554207.13673,2739228260.4649,2867212622.26369,3098319479.59958,2822568355.8602,3023628610.91019,3705557632.70638,3364227385.78851,3158992259.45428,3013514429.46479,3564771058.26581,3178495005.73366,2910087758.80415,2914617596.02814,3277215952.06401,3009642850.77395,2665113805.68785
3963785214.88704,3993063453.98361,4192293757.85268,4254447528.39073,3711179880.09618,4445843850.92733,4649706721.88198,3489775838.5808,4302953449.76957,4229442432.43075,3748536985.72326,4224735818.07508,5083887088.30422,4286720095.04619,4332994475.67157,4441443913.92101,3929519113.18218,4343563615.31779,4442396700.02065,4117364868.91986
5875052438.40101,5307124443.74872,5098614728.08979,5873804838.8505,6144187816.60184,6261801906.01153,5772822342.92179,6303195873.8067,6129359289.84735,6101278522.15038,5240597968.21521,5419240836.76155,6612084036.66847,5396426927.31652,6268511386.26917,5413041857.4469,5778880532.19987,5727736861.38974,5636330242.344,5864577499.00002
4671526794.53318,4146392761.622,4376472159.774,4673190649.98449,4354273608.68032,4206342049.98344,4112086296.45211,3941330871.6686,4991894788.81486,4221746592.38178,4001423255.12893,4446930254.84844,3749938928.64893,4889015130.93575,4121986861.31164,5206774788.36939,4423113378.53387,4549347784.43629,3845560033.26755,4324857216.76608
4803547353.95018,5396928343.00626,5373085995.46593,5067495792.1594,4414612008.90073,5057816696.27954,5061228192.91206,4464254686.25253,5041182984.68517,5070011994.57901,4659374117.30137,4771328900.82218,3951389618.88678,4062430746.48181,5372980862.10038,4576764227.60732,4479005955.04195,4646159757.71247,4722157618.53608,4758205346.0513
8824792266.07572,8620782552.79908,8449714421.30652,8009507593.06891,7772225092.26714,7793304179.28476,8467591941.93839,8031646458.09833,8468105094.70432,8580058215.73982,7812198941.75494,8216952425.02263,7762365247.81087,7584065349.63729,8756269648.10425,8544853126.89957,8335741971.73591,6937521498.02683,8091569933.18507,8240138469.04274
3466303571.96982,2915915680.79344,2867511378.90754,2824199791.53022,2893167734.9511,3082727994.74711,2859508126.19273,3450683969.49766,3153925765.30393,3669042457.2315,2732275447.38047,2386628801.68912,3602411920.67487,3005503425.73839,3431084806.10989,3141483453.81396,3966147177.40988,3137285587.45083,3235365156.39046,3380108355.36532
3962101032.00532,3736609910.28226,3767133158.15625,3891034588.17266,4354667500.75409,4220637542.22955,4079792950.12516,3945877899.75858,4435908450.03057,3356136610.8125,3556674614.92359,3111097307.11623,4311691133.21663,4002880884.63247,4324415232.93515,4028364941.78387,4198155264.80017,4169458705.778,3515529082.66459,3786596208.63998
5182678502.44303,4775025251.17518,4745863920.61452,4750568488.43106,5194375356.39176,5463179922.84989,5045308846.56668,4737452725.70827,5589195852.89767,4915538640.35789,4822076059.54566,5149646018.21086,4757146202.67167,5547042599.56323,4160845819.75084,4998194889.42657,4897194332.4368,5237645735.65819,5193402121.80596,4980534349.94433
7803332041.48158,6774372700.99446,7876706531.74349,8008556213.2199,7553808275.06712,6614139611.46101,7304933813.07164,6712123213.88174,7025454710.06981,6895672627.0429,6607107988.18894,6217123827.59424,7345207949.0306,7618734537.8141,7977631111.38284,7094815181.69532,6635962286.04861,7447110540.16131,8101044412.33561,6844419464.13933
12606376596.9155,12755144970.7932,11280748373.7063,12290927280.022,12317023367.8131,12179819888.3056,11605710109.7036,11893637443.1537,12734621926.1835,13493855613.8354,11587669193.9119,12626602317.0646,12928728712.0895,12063189736.095,12853765042.4333,12036779783.6105,13078645411.0022,12135852496.5852,12468279487.5246,12822970241.4571
9657179889.99412,9906026815.18473,8704892050.74102,9713357090.15648,9531227014.44337,8993991381.15425,10106633286.4795,9346798141.60299,10043268202.6345,9891599759.37004,9448478875.64209,9263450141.773,9577657427.66708,8809768331.05447,9411357239.64919,9451949874.91396,10047968633.6513,10119303420.5409,9394918129.17784,9357544534.39406
