replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
5437736284.02435,5242416953.89992,5799884656.76719,4877290723.58191,5707889977.10603,5069631907.53115,4430682622.39563,4981522134.85377,5849724663.6494,5262036211.54897,5148302645.58093,5636961813.41638,4659500462.00591,5289822976.43038,5334044931.80705,5155000842.75932,5921232129.18503,4508625843.42105,4777650904.4915,5595215202.97033
7766185306.84517,8400697993.97076,8277449607.88971,8614274747.50925,8875537975.04911,8821215341.45312,7723320556.63549,8218468020.87415,8070611872.6389,8570992219.53549,8158277640.49617,8276322341.09126,8282072008.58541,8262406414.48904,7528331236.37998,8261947049.89481,8748661500.07215,8444031839.00443,8096924874.77068,7408390704.1125
3454539170.16918,3623015061.8582,2945045060.1335,3923761870.35013,2782698497.34569,3873666283.19492,3738927798.24742,3718277791.42155,2998751853.98672,3520872877.79918,3328778671.64999,3283276207.99162,2895870117.08187,3662169910.35927,3636229028.32836,4708428554.7033,4246517310.39824,3464306912.98761,3590357044.20345,3592241815.27306
4064210153.80426,4243309309.76606,4861564985.8109,4118222410.52366,4269194760.71107,4150394824.80558,4324656175.36226,3215945922.54472,3572010373.68311,3972791733.68023,4449142546.90917,3711392807.90697,4236627659.17353,3830590070.11117,3968650735.48361,4528038909.28139,3938594185.01156,4848508681.11172,3739597134.10368,4983832251.41113
5407794577.88167,5835058830.25223,4915591930.37018,5064976737.15269,5045352171.52691,5581345699.6777,4927707906.09054,5581302824.60458,5092059341.38359,5616911721.20053,5922403572.34244,4585608161.70683,5372425950.86091,5589320477.49862,5753176843.79453,5094039553.06495,4739944462.69882,5660454505.56935,5085926403.13772,5154656244.24621
6915421354.71947,7136012258.65519,7278536116.12956,7128341235.81658,7529936553.23881,7735877710.49425,6407440492.42983,6999290554.99207,7244004310.16397,7345750537.93297,6903763258.92085,7532789279.96112,7022432995.2395,7750953630.06188,6794369945.79858,7266585490.9051,7517769828.39194,7190500413.24501,7516778938.8925,6951301375.79156
11701130464.0946,12365781383.3075,12263005697.7591,12463747744.1497,12922141993.8299,12040036177.8758,13527260732.4325,12237348380.9987,12627605022.9558,12568535848.3414,12673536536.7723,12366101902.6819,12328665818.633,12610785455.1341,12813298787.3858,13228520579.7907,12740988718.8021,12373762987.8944,12337718586.5837,11822117334.938
8895810294.46178,8697636124.5635,9667992687.40094,8890242020.47723,9674985222.87756,9094099644.68439,9551843762.70234,9551444211.25261,9734543503.31606,9189215000.44319,10194938272.0865,8685638613.8565,9983411601.10408,9057935309.16788,10551046107.2776,9388719303.52128,9082785828.81804,9148118259.30225,9630279333.01841,9564625298.36163
7369631046.52533,8010308975.83189,7879386817.32809,8080251725.69515,8217793371.70195,7116230647.474,7426714834.60568,7770970222.45438,7489864269.23274,7655925346.42419,7968458260.43377,7610809374.30622,6194936308.51437,7738626110.7217,8075855546.9591,7616839908.71,7919236302.66355,7305074188.10445,7733211988.86359,7424341670.62572
3921382421.94223,3918961615.20344,3666940844.3228,3951122126.40466,3592178061.02966,4329895332.63972,3828928486.54892,4277624463.84992,3390440580.91399,3263398865.32122,2851407419.52339,3240744645.16803,3267323068.3408,2856986566.24463,3288262835.91754,3519061176.15135,3846630866.96309,3847783269.63638,3990221615.07584,2910863860.35191
7070896058.18041,6880049238.76355,8081858152.91767,6626014700.81362,7650761868.06168,7506732116.87542,6913100967.29534,6900391899.37906,7008505567.48303,7318382918.64863,6803369972.36949,7499427195.92414,6942245158.12866,7487949434.76015,7326137062.57928,7293402964.4537,7818457924.97068,7181152489.76085,7500995016.0379,7443948305.50652
13055293899.9932,12828756101.7155,12772115857.9927,12791480993.2684,12571903631.9899,11810395609.1489,12425110193.1718,12044063328.702,12730017884.8997,12401961674.1532,12742978574.26,12535063024.7046,12338475100.7458,13021471498.1554,13237250746.5426,13061151021.3194,12329058697.3081,12211451474.3425,12840181251.7644,12721471195.5694
8956781940.41558,9274314065.66678,8445811605.64569,8528778328.73782,9419843323.5906,9244394273.63948,9107660942.49446,8901386001.60324,8788768859.13096,9052525969.31381,8051408451.36788,9328815763.1137,8589954847.98197,8634008677.19501,8691183128.70942,8527380202.64944,9075975857.51906,8496334719.41938,8777247627.6708,8954711657.66794
4048472894.98264,4028162123.04123,3602225734.85641,3759878175.92951,4583718817.28446,4703010673.70084,3009831282.27242,3601912486.89236,3636639666.39017,3946129975.0505,4017857523.05661,3798339032.28091,4216928345.09086,3966098454.97711,3740511113.9398,3487762854.28934,4041401114.78841,3470575441.78486,3655396040.55406,4412116825.84349
3128380176.99078,3214306002.76224,4261829275.84647,4647868240.2835,3946841587.63421,3357245694.44707,4323961064.70314,3572120630.37247,3802197546.85738,3585564698.8643,3648464870.16872,3649864113.72093,3974889906.07615,4293373247.811,3964615438.35854,3541859929.21082,4246123677.33641,4119269530.94337,3523879009.85324,3913879113.61928
3937537788.77636,3734465761.78201,4429159959.04142,3343429771.63433,4137820019.63861,3740045522.15598,4545981729.88668,4409486784.18329,4172037151.96478,3816571328.60328,4006921552.58828,4173595623.07125,4369857837.51452,3902896511.18258,4436270486.23656,3786836100.33368,4050935179.92817,4183150188.5561,3641758288.95015,4375249581.93635
5773809276.24216,6047574484.86086,4863532084.27434,5301698390.28235,4680794030.16691,4811737580.4585,5027558970.10509,5456746904.80693,4203137848.96053,5378728880.71029,4658189642.68622,4781038162.67256,4726634493.16881,5304984813.25509,5082997156.2517,4948161717.83345,4551493748.0687,4881336384.58323,5133170209.91494,4993737578.76431
2777641473.45201,3210325071.35499,2642507825.98379,3042888893.54097,3650524482.79616,2836700224.56464,2979603388.273,3388291690.32752,3222641205.5399,2274087939.67692,2858725772.03942,2615824487.14781,3730895357.05244,2868569674.23337,3058199940.26302,3077007726.22137,3272854815.8832,3980425549.05014,2902062182.03782,3227221178.50078
